Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
SUV,53645,1,Tata,Tata Nexon,2018,825000.0,Diesel,Manual,1497.0,3994.0,1607.0,2498.0,1305.0,TubelessRadial,21.5,108.5,260.0,5.0,15.697549201633866,Bangalore
Hatchback,100000,2,Hyundai,Hyundai Getz,2006,220000.00000000003,Petrol,Manual,1341.0,3810.0,1515.0,2455.0,1095.0,TubelessRadial,15.3,83.0,115.0,5.0,13.0,Bangalore
Hatchback,53982,1,Maruti,Maruti Celerio,2014,428000.0,Petrol,Automatic,998.0,3695.0,1555.0,2435.0,815.0,TubelessRadial,26.68,65.71,89.0,5.0,15.697549201633866,Bangalore
Sedan,110000,1,Skoda,Skoda Rapid,2014,695000.0,Diesel,Manual,1498.0,4386.0,1466.0,2552.0,1206.0,TubelessRadial,21.14,103.52,250.0,5.0,15.0,Bangalore
SUV,37741,2,Ford,Ford Ecosport,2019,930000.0000000001,Petrol,Manual,1496.0,3998.0,1647.0,2519.0,1225.0,TubelessRadial,15.9,120.69,149.0,5.0,16.0,Bangalore
Hatchback,17367,1,Maruti,Maruti Alto 800,2021,455000.0,Petrol,Manual,796.0,3445.0,1475.0,2360.0,762.0,Tubeless,22.05,47.33,69.0,5.0,15.697549201633866,Bangalore
SUV,94000,1,Hyundai,Hyundai Creta,2017,1195000.0,Diesel,Manual,1582.0,4270.0,1630.0,2590.0,1320.0,Tubeless,19.67,126.2,259.9,5.0,16.0,Bangalore
SUV,33700,1,Tata,Tata Harrier,2021,2175000.0,Diesel,Automatic,1956.0,4598.0,1706.0,2741.0,1700.0,TubelessRadial,14.6,167.67,350.0,5.0,17.0,Bangalore
Hatchback,54601,3,Maruti,Maruti Swift,2014,442000.0,Petrol,Manual,1197.0,3845.0,1530.0,2450.0,875905.0,TubelessRadial,22.38,88.5,113.0,5.0,15.697549201633866,Bangalore
Hatchback,110000,1,Maruti,Maruti Swift,2018,690000.0,Diesel,Manual,1248.0,3840.0,1530.0,2450.0,960.0,Tubeless,28.4,74.0,190.0,5.0,15.697549201633866,Bangalore
Hatchback,64000,2,Maruti,Maruti Celerio,2017,500000.0,Petrol,Manual,998.0,3715.0,1565.0,2425.0,850.0,TubelessRadial,23.1,67.04,90.0,5.0,14.0,Bangalore
Sedan,40525,1,BMW,BMW 3 Series GT,2016,3395000.0000000005,Diesel,Automatic,1995.0,4824.0,1508.0,2920.0,1720.0,Runflat,21.76,188.0,400.0,5.0,18.0,Bangalore
Sedan,100000,1,Maruti,Maruti Ciaz,2015,650000.0,Diesel,Manual,1248.0,4490.0,1485.0,2650.0,1105.0,TubelessRadial,26.21,88.5,200.0,5.0,15.697549201633866,Bangalore
Hatchback,44154,2,Honda,Honda Jazz,2016,537000.0,Petrol,Automatic,1199.0,3955.0,1544.0,2530.0,1066.0,TubelessRadial,19.0,88.7,110.0,5.0,15.0,Bangalore
MUV,70000,1,Renault,Renault Lodgy,2016,750000.0,Diesel,Manual,1461.0,4498.0,1697.0,2810.0,1360.0,Tubeless,19.98,108.5,245.0,7.0,15.0,Bangalore
Sedan,79000,1,Skoda,Skoda Octavia,2018,1789999.9999999998,Petrol,Automatic,1798.0,4670.0,1476.0,2688.0,1376.0,TubelessRadial,15.1,178.0,250.0,5.0,16.0,Bangalore
Hatchback,68039,2,Tata,Tata Tiago,2017,468000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,980.0,Tubeless,23.84,84.0,114.0,5.0,15.697549201633866,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,420000.0,Petrol,Manual,1197.0,3775.0,1620.0,2360.0,1015.0,TubelessRadial,18.5,85.8,114.0,5.0,15.697549201633866,Bangalore
Hatchback,10000,1,Hyundai,Hyundai i20,2021,919999.9999999999,Petrol,Manual,998.0,3995.0,1505.0,2580.0,1260.0,TubelessRadial,20.0,118.36,171.62,5.0,16.0,Bangalore
